Date,Station name & ID,Loco Id,Direction,Issue Type,Issue Sub category,Issue Count,Issues noted During Trial,Time,Analysis,Root Cause/Why2,Corrective Action,Issue Category,Action Taken
04-03-2026,Cheragram (CRAE) (12018),37908,UP (N),LS mode,Radio communicaiton failure,1,Loco switched to LS mode,8:57:12,Loco didn't sent Loco regular packets for 10sec. Hence With frame offset 5 Loco  switched to LS mode.,"Radio 1 RX: 8.19 MB
Radio 2 RX: 7.64 MB",,,
04-03-2026,Jaugram (JRAE) (12022),37908,UP (N),LS mode,Radio communicaiton failure,1,Loco switched to LS mode,9:06:18,Loco didn't sent Loco regular packets for 12sec. Hence With frame offset 5 Loco  switched to LS mode.,"Radio 1 RX: 12.88 MB
Radio 2 RX: 941.59 KB",,,
04-03-2026,Janai Road (JOX) (12009),39411,DN (R),LS mode,Radio communicaiton failure,1,Loco switched to LS mode,16:11:56,After deregister with previous station. Loco sent Loco request. but it received delay to the station. Hence Loco switched LS mode.,"Radio 1 RX: 329.38 KB
Radio 2 RX: 1.77 MB",,,
05-03-2026,Barddhaman Jn (BWN) (12028),30082,DN (R),SR mode,SOM,1,Loco switched to SR mode,18:50:52,"When the loco configuration was done, SOM SR authority was sent by station. After reading a known route Tag - 624 OS MA was sent by the station","Radio 1 RX: 16.61 MB
Radio 2 RX: 15.61 MB",,,
05-03-2026,Belur (BEQ) (12003),30568,UP (N),LS mode,,,Loco switched to LS mode,,No proper information in Loco log. packets were logged upto 4 hours only. but the issue was observed at 23 hours. Need proper Loco log.,"Radio 1 RX: 1.53 MB
Radio 2 RX: 1.97 MB",,,
05-03-2026,Janai Road (JOX) (12009),30568,UP (N),LS mode,,,Loco switched to LS mode,,No proper information in Loco log. packets were logged upto 4 hours only. but the issue was observed at 23 hours. Need proper Loco log.,"Radio 1 RX: 434.72 KB
Radio 2 RX: 2.05 MB","Please check proper google drive loco log, Seperate UP & DN loco log provided for different train movement. Please consider UP movement",,
05-03-2026,Howrah (HWH) (12000),30568,UP (N),SR mode,,,Loco switched to SR mode,,No proper information in Loco log. packets were logged upto 4 hours only. but the issue was observed at 23 hours. Need proper Loco log.,"Radio 1 RX: 458.91 KB
Radio 2 RX: 491.85 KB",,,
05-03-2026,Baruipara (BRPA) (12011),30676,DN (R),LS mode,Radio communicaiton failure,1,Loco switched to LS mode,4:22:50,"station regular packets were not recevied to Loco for 10sec. hence Loco switched lo LS mode.  but  Data is not populated in the station log, likely suspect is the Radio Interference ","Radio 1 RX: 2.69 MB
Radio 2 RX: 5.00 MB",,,
05-03-2026,Dankuni (DKAE) (12007),30676,DN (R),SR mode,KAVACH territory exit,1,Loco switched to SR mode,4:33:06,"Loco After reading Tag-415,Loco switched to SR Mode as it is Kavach territory Exit.","Radio 1 RX: 1.21 MB
Radio 2 RX: 1.30 KB",,,
05-03-2026,Howrah (HWH) (12000),30692,UP (N),SR mode,,,Loco switched to SR mode,17:21:38,,"Radio 1 RX: 458.91 KB
Radio 2 RX: 491.85 KB",,,
05-03-2026,Baruipara (BRPA) (12011),30692,UP (N),SR mode,,,Loco switched to SR mode,17:47:06,,"Radio 1 RX: 2.69 MB
Radio 2 RX: 5.00 MB",,,
05-03-2026,LC-41 (CRAE-GRAE) (12019),37403,UP (N),LS mode,,,Loco switched to LS mode,0:20:32,,"Radio 1 RX: 8.81 MB
Radio 2 RX: 10.67 MB",,,
05-03-2026,Cheragram (CRAE) (12018),37456,DN (R),LS mode,Radio communicaiton failure,1,Loco switched to LS mode,8:08:24,Station sent station regular packets. but are not received to Loco for 10sec. Hence Loco switched to LS mode.,"Radio 1 RX: 7.16 MB
Radio 2 RX: 7.97 MB",,,
05-03-2026,Chandanpur (CDAE) (12015),37456,DN (R),LS mode,Radio communicaiton failure,1,Loco switched to LS mode,8:13:36,Loco sent Loco regular packets. but are not received to the station. Hence with Frame offset 5 Loco switched to LS mode.,"Radio 1 RX: 1.99 MB
Radio 2 RX: 4.80 MB",,,
05-03-2026,LC-31 (KQU-CDAE) (12014),37456,DN (R),LS mode,Radio communicaiton failure,1,Loco switched to LS mode,8:15:48,Loco sent Loco regular packets. but are not received to the station. Hence with Frame offset 5 Loco switched to LS mode.,"Radio 1 RX: 4.71 MB
Radio 2 RX: 5.20 MB",,,
05-03-2026,Baruipara (BRPA) (12011),37456,DN (R),LS mode,Radio communicaiton failure,1,Loco switched to LS mode,8:30:36,Station sent station regular packets. but are not received to Loco for 10sec. Hence Loco switched to LS mode.,"Radio 1 RX: 2.69 MB
Radio 2 RX: 5.00 MB",,,
05-03-2026,Howrah (HWH) (12000),37456,UP (N),SR mode,,,Loco switched to SR mode,18:24:08,No proper information in Loco log. packets were logged upto 9 hours only. but the issue was observed at 18 hours. Need proper Loco log.,"Radio 1 RX: 458.91 KB
Radio 2 RX: 491.85 KB",,,
05-03-2026,Jaugram (JRAE) (12022),37657,DN (R),LS mode,Radio communicaiton failure,1,Loco switched to LS mode,7:32:14,Loco sent Loco regular packets. but are not received to the station. Hence with Frame offset 5 Loco switched to LS mode.,"Radio 1 RX: 9.09 MB
Radio 2 RX: 924.19 KB",,,
